state,state_name,region,region_name
01,ALABAMA,4,Atlanta
02,ALASKA,10,Seattle
04,ARIZONA,9,San Francisco
05,ARKANSAS,6,Dallas
06,CALIFORNIA,9,San Francisco
08,COLORADO,8,Denver
09,CONNECTICUT,1,Boston
10,DELAWARE,3,DC
11,DISTRICT OF COLUMBIA,3,DC
12,FLORIDA,4,Atlanta
13,GEORGIA,4,Atlanta
15,HAWAII,9,San Francisco
16,IDAHO,10,Seattle
17,ILLINOIS,5,Chicago
18,INDIANA,5,Chicago
19,IOWA,7,Kansas City
20,KANSAS,7,Kansas City
21,KENTUCKY,4,Atlanta
22,LOUISIANA,6,Dallas
23,MAINE,1,Boston
24,MARYLAND,3,DC
25,MASSACHUSETTS,1,Boston
26,MICHIGAN,5,Chicago
27,MINNESOTA,5,Chicago
28,MISSISSIPPI,4,Atlanta
29,MISSOURI,7,Kansas City
30,MONTANA,8,Denver
31,NEBRASKA,7,Kansas City
32,NEVADA,9,San Francisco
33,NEW HAMPSHIRE,1,Boston
34,NEW JERSEY,2,NYC
35,NEW MEXICO,6,Dallas
36,NEW YORK,2,NYC
37,NORTH CAROLINA,4,Atlanta
38,NORTH DAKOTA,8,Denver
39,OHIO,5,Chicago
40,OKLAHOMA,6,Dallas
41,OREGON,10,Seattle
42,PENNSYLVANIA,3,DC
44,RHODE ISLAND,1,Boston
45,SOUTH CAROLINA,4,Atlanta
46,SOUTH DAKOTA,8,Denver
47,TENNESSEE,4,Atlanta
48,TEXAS,6,Dallas
49,UTAH,8,Denver
50,VERMONT,1,Boston
51,VIRGINIA,3,DC
53,WASHINGTON,10,Seattle
54,WEST VIRGINIA,3,DC
55,WISCONSIN,5,Chicago
56,WYOMING,8,Denver
